epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2433,1.16036,2.44582,1.12841,0.81696,0.7967,0.80436,0.51888,1.07987,2.60443,1.02761,0.000198095,0.000198095,0.000198095
2,49.6941,1.14263,1.55925,1.10564,0.85525,0.84615,0.88701,0.57104,1.04331,1.27223,1.05712,0.000397998,0.000397998,0.000397998
3,70.9763,1.11525,1.26988,1.10656,0.89599,0.85165,0.9169,0.59766,0.99462,1.05003,1.04815,0.000597511,0.000597511,0.000597511
4,92.6669,1.10856,1.10451,1.11032,0.81592,0.82967,0.88943,0.57702,1.05163,1.21986,1.12728,0.000796342,0.000796342,0.000796342
5,113.252,1.12771,1.04244,1.12847,0.91424,0.87862,0.94031,0.59302,1.02589,0.79085,1.10204,0.000994199,0.000994199,0.000994199
6,133.369,1.13295,0.95201,1.11934,0.91621,0.84615,0.92861,0.5941,1.02543,0.76822,1.0718,0.00119079,0.00119079,0.00119079
7,153.311,1.12009,0.8995,1.12665,0.8912,0.85165,0.93436,0.62283,1.01353,0.67077,1.06505,0.00138584,0.00138584,0.00138584
8,173.194,1.12334,0.8853,1.12194,0.90434,0.91758,0.95556,0.62064,1.02155,0.74298,1.07482,0.00157904,0.00157904,0.00157904
9,192.884,1.11777,0.85017,1.12289,0.86033,0.91758,0.94421,0.63235,0.99604,0.88729,1.09506,0.00177013,0.00177013,0.00177013
10,214.221,1.08775,0.80151,1.10642,0.86468,0.91282,0.94724,0.62198,1.02083,0.71168,1.09128,0.00195882,0.00195882,0.00195882
11,233.596,1.07041,0.79097,1.09422,0.91514,0.88881,0.94735,0.62962,1.05073,0.70031,1.12657,0.00195155,0.00195155,0.00195155
12,252.858,1.09681,0.81969,1.11806,0.88914,0.92308,0.94345,0.63126,1.00599,0.7161,1.10448,0.00194147,0.00194147,0.00194147
13,272.276,1.06052,0.77765,1.08734,0.92277,0.91913,0.95472,0.63439,1.00038,0.61943,1.07457,0.00193048,0.00193048,0.00193048
14,291.821,1.07758,0.75912,1.10019,0.89101,0.94505,0.97028,0.66662,0.98834,0.64007,1.0904,0.00191858,0.00191858,0.00191858
15,311.152,1.03478,0.74003,1.0813,0.8715,0.93956,0.96587,0.65078,1.00091,0.66157,1.09013,0.00190578,0.00190578,0.00190578
16,330.437,1.03846,0.75547,1.09436,0.90527,0.94515,0.9757,0.65578,0.97472,0.61019,1.0782,0.0018921,0.0018921,0.0018921
17,349.83,1.03499,0.72052,1.08973,0.87153,0.9011,0.94082,0.62764,1.01519,0.63066,1.10503,0.00187754,0.00187754,0.00187754
18,369.145,1.02771,0.73556,1.08157,0.87344,0.93956,0.95796,0.64638,0.98536,0.62685,1.08468,0.00186213,0.00186213,0.00186213
19,388.465,1.00551,0.73281,1.08408,0.88202,0.91209,0.95547,0.63934,0.98666,0.64733,1.08072,0.00184588,0.00184588,0.00184588
20,407.969,1.03355,0.71716,1.08428,0.87342,0.94782,0.96245,0.6495,0.97212,0.60263,1.082,0.00182881,0.00182881,0.00182881
21,427.459,1.02124,0.70725,1.09427,0.91845,0.93956,0.96784,0.64849,0.9841,0.60607,1.07923,0.00181093,0.00181093,0.00181093
22,446.888,1.00713,0.68331,1.06911,0.89722,0.91128,0.93443,0.64211,0.95726,0.68468,1.06331,0.00179225,0.00179225,0.00179225
23,466.283,1.00472,0.68237,1.06657,0.92921,0.91758,0.97281,0.66258,0.96741,0.57105,1.0757,0.00177281,0.00177281,0.00177281
