epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71941,1.13751,2.96501,1.12512,0.00526,1,0.36267,0.25367,0.94246,3.05517,1.01321,0.00024,0.00024,0.00024
2,8.9295,1.12734,1.75753,1.10149,0.00526,1,0.65416,0.47266,0.98139,2.97397,1.00387,0.00049505,0.00049505,0.00049505
3,12.1834,1.11543,1.50931,1.04854,0.84235,0.35679,0.81125,0.54298,0.97741,2.51689,0.99335,0.000744952,0.000744952,0.000744952
4,15.3073,1.07604,1.29723,1.06654,0.83545,0.84649,0.91801,0.674,0.94468,2.00217,1.04856,0.000989706,0.000989706,0.000989706
5,18.3034,1.05172,1.30282,1.05833,0.86769,0.8,0.89915,0.65813,1.02195,2.13999,1.06662,0.00122931,0.00122931,0.00122931
6,21.1243,1.05087,1.23029,1.07115,0.93159,0.8,0.94454,0.65774,1.05083,1.38893,1.14068,0.00146377,0.00146377,0.00146377
7,23.9164,1.04518,1.19391,1.07261,0.69961,0.93333,0.70815,0.53959,0.91122,1.46451,1.08816,0.00169308,0.00169308,0.00169308
8,26.7268,1.1071,1.15724,1.10994,0.86693,0.96667,0.92277,0.63345,1.08442,1.29438,1.20253,0.0018614,0.0018614,0.0018614
9,29.4556,1.07447,1.16715,1.07855,0.84557,0.96667,0.88437,0.62514,0.95601,1.20975,1.10464,0.0018416,0.0018416,0.0018416
10,32.1656,1.02764,1.04415,1.07528,0.78847,0.96667,0.88266,0.63839,1.06187,1.03808,1.17643,0.0018218,0.0018218,0.0018218
11,34.9218,1.03903,1.04009,1.06706,0.77922,0.94134,0.87213,0.61632,0.99311,1.1156,1.15062,0.001802,0.001802,0.001802
12,37.659,1.02495,0.95412,1.04611,0.87181,0.90699,0.92145,0.68113,1.02168,0.97106,1.1317,0.0017822,0.0017822,0.0017822
13,40.4809,1.01029,0.98335,1.05849,0.86721,0.93333,0.91403,0.69779,0.95948,1.22622,1.12204,0.0017624,0.0017624,0.0017624
14,43.4083,1.05352,0.95665,1.08898,0.75197,0.9097,0.88848,0.66607,0.96225,1.15145,1.10996,0.0017426,0.0017426,0.0017426
15,46.1457,1.00088,0.88537,1.02829,0.8403,0.86667,0.89531,0.66781,0.95042,1.00507,1.07264,0.0017228,0.0017228,0.0017228
16,48.9582,0.98197,0.87289,1.04099,0.87388,0.96667,0.9283,0.6858,0.94868,0.84807,1.09418,0.001703,0.001703,0.001703
17,51.7268,0.95882,0.84166,1.0146,0.9276,0.93333,0.93115,0.69142,0.93002,0.90375,1.10145,0.0016832,0.0016832,0.0016832
18,54.5133,0.97961,0.82519,1.03698,0.87631,0.93333,0.97374,0.73445,0.94877,0.7744,1.11436,0.0016634,0.0016634,0.0016634
19,57.6378,0.9522,0.80362,1.03916,0.9527,0.9,0.97967,0.73461,0.90845,0.70728,1.11411,0.0016436,0.0016436,0.0016436
20,60.5599,0.95276,0.75936,1.04177,0.87193,0.90795,0.93541,0.70602,0.86933,0.74429,1.10793,0.0016238,0.0016238,0.0016238
21,63.3113,0.98587,0.77175,1.05783,0.92812,0.93333,0.95674,0.72746,0.88921,0.71602,1.08536,0.001604,0.001604,0.001604
22,66.0474,0.91513,0.73986,1.04106,0.95337,0.9,0.97175,0.73992,0.93383,0.70849,1.0932,0.0015842,0.0015842,0.0015842
23,68.9336,0.9165,0.75045,1.0135,0.95238,0.86667,0.96666,0.74384,0.89002,0.61767,1.11251,0.0015644,0.0015644,0.0015644
24,71.8794,0.94565,0.75345,1.02411,0.87113,0.93333,0.91787,0.67114,0.90782,0.6968,1.13204,0.0015446,0.0015446,0.0015446
25,74.6642,0.89416,0.69033,1.00332,0.9258,0.9,0.91732,0.70685,0.89944,0.70951,1.10395,0.0015248,0.0015248,0.0015248
26,77.4788,0.90568,0.72588,1.04896,0.87085,0.93333,0.94335,0.73181,0.87706,0.64439,1.09273,0.001505,0.001505,0.001505
27,80.2506,0.92033,0.71946,1.04975,0.89797,0.93333,0.95863,0.7505,0.86959,0.59057,1.06242,0.0014852,0.0014852,0.0014852
28,83.1737,0.89242,0.68942,1.01407,0.90048,0.96667,0.9694,0.74371,0.902,0.58188,1.07042,0.0014654,0.0014654,0.0014654
29,85.9127,0.90041,0.70774,1.0078,0.90542,0.95752,0.97717,0.74471,0.88386,0.59591,1.07268,0.0014456,0.0014456,0.0014456
30,88.6473,0.88239,0.69405,1.02421,0.95672,0.93333,0.9721,0.7392,0.94826,0.65039,1.09571,0.0014258,0.0014258,0.0014258
31,91.3546,0.91042,0.67875,1.03548,0.96193,0.86667,0.96756,0.73995,0.91272,0.64578,1.08158,0.001406,0.001406,0.001406
32,94.1234,0.86365,0.63605,0.98817,0.92019,0.9,0.95898,0.76049,0.88657,0.63147,1.08268,0.0013862,0.0013862,0.0013862
33,96.9781,0.89938,0.6887,1.01733,0.90061,0.93333,0.96701,0.72703,0.91447,0.60553,1.13318,0.0013664,0.0013664,0.0013664
34,99.6626,0.91596,0.68521,1.0274,0.87495,0.93333,0.94189,0.7044,0.90062,0.66211,1.11794,0.0013466,0.0013466,0.0013466
35,102.372,0.84995,0.64704,0.99699,0.87,0.93333,0.95443,0.73879,0.87355,0.61328,1.09264,0.0013268,0.0013268,0.0013268
36,105.094,0.89041,0.65455,1.00992,0.8967,0.9,0.9418,0.72228,0.88149,0.63035,1.10904,0.001307,0.001307,0.001307
37,107.799,0.81457,0.59485,0.96637,0.93017,0.8883,0.90876,0.69429,0.90199,0.72931,1.09024,0.0012872,0.0012872,0.0012872
38,110.535,0.83544,0.62578,0.99943,0.8741,0.92589,0.91478,0.68906,0.92052,0.67793,1.10206,0.0012674,0.0012674,0.0012674
39,113.468,0.83898,0.61152,0.976,0.93274,0.92473,0.93984,0.69972,0.94656,0.63169,1.09205,0.0012476,0.0012476,0.0012476
40,116.257,0.82837,0.61106,0.98171,0.93326,0.93221,0.92853,0.73058,0.90301,0.61781,1.06408,0.0012278,0.0012278,0.0012278
41,118.98,0.88938,0.65706,1.02002,0.93043,0.93333,0.9382,0.72547,0.87576,0.58808,1.06718,0.001208,0.001208,0.001208
42,121.708,0.87607,0.62326,1.01708,0.93113,0.90142,0.94655,0.70917,0.93502,0.60202,1.10443,0.0011882,0.0011882,0.0011882
43,124.516,0.82342,0.59074,0.99179,0.89887,0.93333,0.95792,0.74047,0.90335,0.55222,1.09082,0.0011684,0.0011684,0.0011684
44,127.291,0.84156,0.63361,1.01982,0.8656,0.93333,0.93782,0.70448,0.90638,0.58071,1.12499,0.0011486,0.0011486,0.0011486
45,130.125,0.82526,0.58741,1.00538,0.86994,0.93333,0.93956,0.71657,0.88423,0.59906,1.10071,0.0011288,0.0011288,0.0011288
46,132.907,0.84306,0.60597,1.00954,0.91423,0.9,0.96367,0.73024,0.89841,0.56832,1.13238,0.001109,0.001109,0.001109
47,135.664,0.8261,0.58553,0.9789,0.93063,0.93333,0.98101,0.74059,0.90336,0.57114,1.12773,0.0010892,0.0010892,0.0010892
48,138.462,0.79797,0.58416,0.97841,0.87186,0.93333,0.9287,0.72971,0.85865,0.63696,1.0727,0.0010694,0.0010694,0.0010694
49,141.192,0.82495,0.6064,0.9922,0.89937,0.93333,0.94696,0.73474,0.86452,0.60505,1.05592,0.0010496,0.0010496,0.0010496
50,143.957,0.80282,0.54013,0.96941,0.90091,0.93333,0.96106,0.73739,0.86826,0.56646,1.07497,0.0010298,0.0010298,0.0010298
51,146.695,0.76652,0.52414,0.94723,0.87146,0.93333,0.95162,0.73875,0.90469,0.56871,1.10479,0.00101,0.00101,0.00101
52,149.48,0.77766,0.53783,0.97273,0.89784,0.93333,0.96597,0.73303,0.89208,0.56746,1.10679,0.0009902,0.0009902,0.0009902
53,152.19,0.84708,0.579,0.99493,0.92397,0.93333,0.9564,0.72475,0.87985,0.58238,1.09627,0.0009704,0.0009704,0.0009704
54,154.889,0.77679,0.53077,0.95669,0.92115,0.93333,0.95476,0.71581,0.92761,0.60662,1.12217,0.0009506,0.0009506,0.0009506
55,157.581,0.77683,0.53053,0.94983,0.91982,0.93333,0.9527,0.74281,0.87582,0.61152,1.10376,0.0009308,0.0009308,0.0009308
56,160.34,0.81159,0.5517,0.97699,0.90312,0.93221,0.93541,0.72116,0.93042,0.62972,1.09247,0.000911,0.000911,0.000911
57,163.335,0.73177,0.504,0.94592,0.8937,0.93333,0.94402,0.71978,0.92787,0.58965,1.0844,0.0008912,0.0008912,0.0008912
58,166.033,0.76261,0.53671,0.97143,0.92484,0.93333,0.95842,0.72438,0.94094,0.57786,1.0882,0.0008714,0.0008714,0.0008714
59,168.781,0.80423,0.56053,1.00224,0.92595,0.93333,0.96103,0.74336,0.90351,0.57138,1.07055,0.0008516,0.0008516,0.0008516
60,171.576,0.77596,0.5617,1.0114,0.92785,0.93333,0.9668,0.75262,0.88136,0.52139,1.06006,0.0008318,0.0008318,0.0008318
61,174.29,0.77705,0.53462,0.96892,0.92526,0.93333,0.95237,0.72319,0.91179,0.52641,1.08692,0.000812,0.000812,0.000812
62,177.023,0.74119,0.51172,0.95378,0.92441,0.93333,0.93453,0.71272,0.91509,0.57438,1.1115,0.0007922,0.0007922,0.0007922
63,179.743,0.7404,0.51966,0.95692,0.89925,0.93333,0.92603,0.71357,0.91303,0.61003,1.10638,0.0007724,0.0007724,0.0007724
64,182.487,0.7556,0.52531,0.95221,0.92499,0.93333,0.95733,0.71407,0.92503,0.52391,1.1087,0.0007526,0.0007526,0.0007526
65,185.219,0.7425,0.50048,0.95843,0.93134,0.93333,0.96083,0.74555,0.91995,0.54526,1.10658,0.0007328,0.0007328,0.0007328
66,187.948,0.7754,0.52221,0.95263,0.9563,0.93333,0.95537,0.73108,0.92338,0.552,1.09,0.000713,0.000713,0.000713
67,190.654,0.79068,0.54142,0.98674,0.96552,0.9,0.96697,0.74431,0.90812,0.55045,1.08817,0.0006932,0.0006932,0.0006932
68,193.375,0.76689,0.50691,0.96444,0.93058,0.93333,0.96346,0.74814,0.89473,0.5644,1.07615,0.0006734,0.0006734,0.0006734
69,196.09,0.73136,0.50124,0.97232,0.88923,0.93333,0.94516,0.72068,0.92224,0.58831,1.07657,0.0006536,0.0006536,0.0006536
70,198.818,0.73291,0.47557,0.92636,0.8738,0.9,0.94013,0.72192,0.89047,0.6136,1.0735,0.0006338,0.0006338,0.0006338
71,201.51,0.73427,0.4981,0.957,0.92679,0.93333,0.94909,0.73524,0.89835,0.59643,1.0654,0.000614,0.000614,0.000614
72,204.319,0.72761,0.5071,0.93881,0.9274,0.93333,0.96038,0.74175,0.8928,0.5568,1.06027,0.0005942,0.0005942,0.0005942
73,207.058,0.68707,0.43895,0.92003,0.92664,0.93333,0.96055,0.75137,0.90624,0.54527,1.07032,0.0005744,0.0005744,0.0005744
74,209.804,0.72011,0.49565,0.95605,0.90559,0.95941,0.95159,0.73762,0.87904,0.52965,1.07469,0.0005546,0.0005546,0.0005546
75,212.512,0.70088,0.47275,0.94696,0.90257,0.96667,0.94738,0.73115,0.88178,0.51443,1.0812,0.0005348,0.0005348,0.0005348
76,215.304,0.70994,0.49383,0.93714,0.90284,0.96667,0.9562,0.73517,0.88829,0.51998,1.07577,0.000515,0.000515,0.000515
77,218.285,0.74035,0.52184,0.95953,0.90617,0.96579,0.94382,0.72761,0.88204,0.50396,1.0706,0.0004952,0.0004952,0.0004952
78,220.998,0.71099,0.48363,0.93647,0.90587,0.96243,0.95155,0.73108,0.88858,0.49276,1.07364,0.0004754,0.0004754,0.0004754
79,223.729,0.6941,0.48744,0.95335,0.8806,0.98358,0.95846,0.73971,0.88154,0.48873,1.07065,0.0004556,0.0004556,0.0004556
80,226.472,0.69837,0.49009,0.96683,0.87644,0.96667,0.96561,0.75993,0.84462,0.4828,1.06136,0.0004358,0.0004358,0.0004358
81,229.207,0.69024,0.44578,0.92993,0.87545,0.96667,0.96346,0.75026,0.86172,0.48975,1.07434,0.000416,0.000416,0.000416
82,231.884,0.6939,0.47468,0.94111,0.87837,0.96302,0.96379,0.73068,0.90435,0.50617,1.09481,0.0003962,0.0003962,0.0003962
83,234.598,0.67818,0.44884,0.93317,0.91839,0.9,0.96406,0.73609,0.8844,0.51386,1.08285,0.0003764,0.0003764,0.0003764
84,237.36,0.65049,0.44978,0.93258,0.92338,0.9,0.96026,0.72542,0.8796,0.50979,1.07642,0.0003566,0.0003566,0.0003566
85,240.09,0.6468,0.44857,0.92202,0.91748,0.9,0.95249,0.72012,0.88008,0.50061,1.0765,0.0003368,0.0003368,0.0003368
86,242.778,0.66057,0.43622,0.9291,0.87834,0.96271,0.94818,0.74393,0.8846,0.49944,1.07299,0.000317,0.000317,0.000317
87,245.476,0.651,0.44867,0.93601,0.93292,0.92729,0.95918,0.73423,0.88778,0.50061,1.07323,0.0002972,0.0002972,0.0002972
88,248.276,0.6746,0.4654,0.93939,0.93275,0.92493,0.95481,0.72942,0.90001,0.50924,1.07954,0.0002774,0.0002774,0.0002774
89,250.998,0.66124,0.45992,0.93949,0.90667,0.93333,0.95022,0.71889,0.89891,0.51902,1.07592,0.0002576,0.0002576,0.0002576
90,253.713,0.6213,0.45023,0.93044,0.89981,0.93333,0.95205,0.72708,0.89311,0.51704,1.06902,0.0002378,0.0002378,0.0002378
91,257.95,0.5646,0.3678,0.90838,0.90303,0.93129,0.9531,0.73344,0.8891,0.51306,1.07681,0.000218,0.000218,0.000218
92,260.639,0.54989,0.35596,0.89203,0.91719,0.9,0.93765,0.71442,0.8898,0.52106,1.07678,0.0001982,0.0001982,0.0001982
93,263.246,0.52843,0.34928,0.88324,0.90553,0.9,0.93945,0.70525,0.90883,0.54569,1.084,0.0001784,0.0001784,0.0001784
94,265.86,0.50459,0.3347,0.84827,0.89785,0.9,0.9508,0.70894,0.90709,0.54909,1.08613,0.0001586,0.0001586,0.0001586
95,268.487,0.53317,0.333,0.87753,0.89786,0.9,0.95543,0.7186,0.9004,0.54074,1.07812,0.0001388,0.0001388,0.0001388
96,271.154,0.52077,0.34175,0.88132,0.89856,0.9,0.95767,0.73156,0.88131,0.53278,1.06552,0.000119,0.000119,0.000119
97,273.755,0.52167,0.32882,0.87877,0.87467,0.93063,0.95315,0.72174,0.87581,0.53254,1.06437,9.92e-05,9.92e-05,9.92e-05
98,276.664,0.52453,0.33233,0.89346,0.87478,0.93156,0.9459,0.71304,0.87634,0.52691,1.06704,7.94e-05,7.94e-05,7.94e-05
99,279.285,0.50507,0.33057,0.8809,0.87486,0.93216,0.9436,0.71517,0.87778,0.52205,1.07004,5.96e-05,5.96e-05,5.96e-05
100,281.936,0.51382,0.32884,0.89827,0.87496,0.93297,0.94497,0.72014,0.87491,0.52151,1.06565,3.98e-05,3.98e-05,3.98e-05
