epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63645,1.04027,3.07977,1.08259,0.00526,1,0.60753,0.42997,0.96384,2.83467,0.92561,0.00024,0.00024,0.00024
2,11.1248,1.07331,1.64812,1.03363,0.00526,1,0.6587,0.45101,0.99733,2.97931,1.07141,0.000497525,0.000497525,0.000497525
3,15.4542,1.05822,1.5473,1.05921,0.00439,0.83333,0.21247,0.13888,1.20241,3.32856,1.2882,0.000752476,0.000752476,0.000752476
4,19.6683,1.06226,1.40233,1.06676,0.00456,0.86667,0.1728,0.11914,1.34046,3.26491,1.48727,0.00100485,0.00100485,0.00100485
5,23.8038,1.04438,1.30466,1.06613,0.6051,0.3068,0.50334,0.36277,1.2453,2.75443,1.44018,0.00125466,0.00125466,0.00125466
6,27.9981,1.10383,1.25442,1.10315,0.26572,0.23333,0.1572,0.08734,1.3263,2.91787,1.36614,0.00150189,0.00150189,0.00150189
7,32.0846,1.07952,1.23409,1.1109,0.81711,0.56667,0.65038,0.46084,1.22385,1.87839,1.30908,0.00174654,0.00174654,0.00174654
8,36.4341,1.03167,1.20029,1.09463,0.90356,0.6249,0.7662,0.54085,1.16056,1.59263,1.27372,0.0019307,0.0019307,0.0019307
9,40.6923,1.07992,1.26814,1.13616,0.68339,0.73333,0.67599,0.50084,1.12737,1.74711,1.2096,0.0019208,0.0019208,0.0019208
10,44.7816,1.07762,1.09602,1.0919,0.70757,0.83333,0.79729,0.5728,1.14373,1.41593,1.19117,0.0019109,0.0019109,0.0019109
11,49.0368,1.03088,1.00149,1.08891,0.11548,0.73333,0.1126,0.06941,1.27773,7.80118,1.40406,0.001901,0.001901,0.001901
12,53.1313,0.99007,0.94822,1.07782,0.143,0.56667,0.13474,0.09808,1.10617,2.90441,1.28886,0.0018911,0.0018911,0.0018911
13,57.2288,0.99466,0.8571,1.05011,0.84846,0.56017,0.62911,0.46511,1.13579,1.94324,1.2432,0.0018812,0.0018812,0.0018812
14,61.3196,0.95293,0.86594,1.03172,0.78195,0.95648,0.92374,0.62961,1.09858,0.91051,1.20286,0.0018713,0.0018713,0.0018713
15,65.5627,0.95227,0.86457,1.02564,0.83257,0.82891,0.88871,0.58596,1.1997,1.09078,1.28308,0.0018614,0.0018614,0.0018614
16,69.6787,0.97393,0.84998,1.04595,0.84894,0.74964,0.82118,0.48472,1.40583,1.11985,1.43179,0.0018515,0.0018515,0.0018515
17,73.7304,0.97789,0.85392,1.06432,0.88321,0.75655,0.89691,0.56512,1.40924,0.93237,1.4084,0.0018416,0.0018416,0.0018416
18,77.7896,0.96231,0.80694,1.04421,0.82912,0.83333,0.90822,0.60095,1.30208,0.8539,1.30664,0.0018317,0.0018317,0.0018317
19,81.8674,1.01929,0.81133,1.0991,0.92106,0.93333,0.93163,0.65228,1.08291,0.83027,1.17221,0.0018218,0.0018218,0.0018218
20,86.1835,0.95156,0.76635,1.05875,0.81276,0.83333,0.91667,0.6512,1.15404,1.08479,1.27516,0.0018119,0.0018119,0.0018119
21,90.2397,0.96951,0.73567,1.0377,0.85827,0.8,0.88099,0.62498,1.17295,1.26134,1.27736,0.001802,0.001802,0.001802
22,94.2658,0.92922,0.74221,1.05368,0.8525,0.76667,0.88957,0.62936,1.01889,1.44735,1.16018,0.0017921,0.0017921,0.0017921
23,98.3132,0.96401,0.76172,1.08165,0.84467,0.8,0.7849,0.54384,1.11376,0.92812,1.22671,0.0017822,0.0017822,0.0017822
24,102.402,0.95201,0.71553,1.03764,0.90516,0.96667,0.95811,0.64535,1.16708,0.71334,1.25762,0.0017723,0.0017723,0.0017723
25,106.453,0.95074,0.68423,1.02835,0.92228,0.79132,0.90852,0.64229,0.97832,0.73428,1.08523,0.0017624,0.0017624,0.0017624
26,110.508,0.89682,0.67708,1.029,0.84172,0.88657,0.94394,0.63372,1.19345,0.68918,1.30782,0.0017525,0.0017525,0.0017525
27,114.566,0.91724,0.68266,1.03169,0.84461,0.90602,0.92955,0.70697,0.97173,0.65724,1.138,0.0017426,0.0017426,0.0017426
28,118.872,0.90487,0.62247,1.01276,1,0.79683,0.91933,0.6847,0.97527,0.71889,1.10765,0.0017327,0.0017327,0.0017327
29,122.977,0.89068,0.6434,0.99928,0.84266,0.96667,0.95804,0.66446,1.09852,0.74984,1.23769,0.0017228,0.0017228,0.0017228
30,127.072,0.85373,0.6333,1.01059,0.89769,0.96667,0.95471,0.68976,1.01285,0.74719,1.22373,0.0017129,0.0017129,0.0017129
