epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77439,1.09588,3.17759,1.14616,0.00526,1,0.59554,0.43943,0.93153,2.92501,0.93721,0.000184615,0.000184615,0.000184615
2,11.2518,1.10951,1.68638,1.05655,0.00509,0.96667,0.64138,0.43789,0.96261,3.05435,1.06524,0.000384521,0.000384521,0.000384521
3,15.4327,1.1108,1.42416,1.0556,0.84118,0.17765,0.65284,0.44181,0.99616,2.78441,0.98926,0.000584044,0.000584044,0.000584044
4,19.7842,1.08799,1.24356,1.05097,0.54797,0.36381,0.54938,0.38986,0.98004,2.49963,1.0171,0.000782892,0.000782892,0.000782892
5,23.8709,1.07025,1.28702,1.0699,0.47792,0.73333,0.56565,0.36495,1.19201,2.19369,1.20541,0.000980772,0.000980772,0.000980772
6,27.9674,1.06382,1.19608,1.06105,0.56426,0.60442,0.59929,0.41853,1.00576,2.06595,1.09703,0.0011774,0.0011774,0.0011774
7,31.9653,1.02624,1.15317,1.066,0.71904,0.7,0.70524,0.5019,1.08853,1.80086,1.24048,0.00137248,0.00137248,0.00137248
8,36.1852,1.0949,1.13158,1.11895,0.42796,0.47398,0.38981,0.25415,1.17495,2.75403,1.29129,0.00156572,0.00156572,0.00156572
9,40.1704,1.05232,1.1633,1.0778,0.70563,0.9,0.80869,0.54769,1.0792,1.5787,1.2632,0.00175686,0.00175686,0.00175686
10,44.3473,1.04941,1.1036,1.10267,0.86537,0.7,0.76759,0.50852,1.08286,1.44524,1.23453,0.00194561,0.00194561,0.00194561
11,48.2966,1.06858,1.077,1.06794,0.87836,0.86667,0.87801,0.58163,1.10092,1.33734,1.29271,0.00195155,0.00195155,0.00195155
12,52.5048,1.03723,0.98758,1.05643,0.7946,0.77389,0.8348,0.58034,1.17241,1.56554,1.31576,0.00194147,0.00194147,0.00194147
13,56.4709,1.08403,1.03035,1.09665,0.69106,0.7,0.57696,0.40893,1.10732,1.78264,1.21307,0.00193048,0.00193048,0.00193048
14,60.4225,1.08697,1.01243,1.10946,0.74918,0.79663,0.79365,0.55974,1.06953,1.53821,1.1984,0.00191858,0.00191858,0.00191858
15,64.3536,1.02207,0.93631,1.06266,0.93491,0.86667,0.96255,0.65619,1.20851,0.86605,1.29735,0.00190578,0.00190578,0.00190578
16,68.5516,1.03684,0.92082,1.07845,0.79792,0.83333,0.86406,0.61783,1.12307,1.1076,1.25615,0.0018921,0.0018921,0.0018921
17,72.5062,1.03479,0.86541,1.04497,0.64313,0.93333,0.8207,0.58044,1.15689,1.30934,1.25037,0.00187754,0.00187754,0.00187754
18,76.4537,1.07269,0.86809,1.07492,0.87831,0.96244,0.92399,0.66517,1.10736,0.95475,1.22146,0.00186213,0.00186213,0.00186213
19,80.5989,1.00215,0.84314,1.0629,0.91673,0.73399,0.89767,0.61633,1.16268,0.93183,1.20894,0.00184588,0.00184588,0.00184588
20,84.6125,1.02092,0.79252,1.0724,0.86711,0.9,0.90218,0.62218,1.14445,1.01003,1.24184,0.00182881,0.00182881,0.00182881
21,88.5773,1.00453,0.77349,1.06906,0.97133,0.8,0.92989,0.64124,1.1515,0.8132,1.24335,0.00181093,0.00181093,0.00181093
22,92.5029,0.9537,0.76609,1.06723,0.8966,0.93333,0.94286,0.6854,1.00744,0.72511,1.14182,0.00179225,0.00179225,0.00179225
23,96.6811,0.99956,0.73768,1.04014,0.85147,0.95569,0.95182,0.67603,1.07624,0.65815,1.20764,0.00177281,0.00177281,0.00177281
24,100.668,1.0099,0.76622,1.07021,0.93176,0.8,0.89821,0.63682,1.01911,0.79511,1.18007,0.00175261,0.00175261,0.00175261
25,104.58,0.95131,0.7221,1.03948,0.96381,0.88802,0.94294,0.68338,0.98544,0.68733,1.13625,0.00173168,0.00173168,0.00173168
26,108.514,0.98394,0.742,1.07227,1,0.78931,0.92259,0.65104,1.05391,0.7605,1.15899,0.00171004,0.00171004,0.00171004
27,112.458,0.96024,0.73973,1.07524,0.95429,0.86667,0.93363,0.66241,1.05166,0.74963,1.13875,0.0016877,0.0016877,0.0016877
28,116.442,0.96031,0.7076,1.05141,0.90064,0.8,0.92249,0.66528,1.0487,0.79452,1.19619,0.0016647,0.0016647,0.0016647
29,120.375,0.96315,0.71889,1.0401,0.94764,0.8,0.94588,0.71651,0.98535,0.69599,1.1111,0.00164105,0.00164105,0.00164105
30,124.492,0.92331,0.66864,1.05357,0.94455,0.8,0.93276,0.68637,0.99926,0.70884,1.11198,0.00161678,0.00161678,0.00161678
31,128.422,0.93081,0.67468,1.05229,0.7066,0.80283,0.79421,0.60471,0.92383,1.29117,1.06457,0.00159191,0.00159191,0.00159191
32,132.385,0.88954,0.63387,1.00304,0.98436,0.73333,0.90669,0.6506,1.03229,0.80503,1.12047,0.00156646,0.00156646,0.00156646
33,136.329,0.95293,0.68492,1.05709,0.79422,0.93333,0.94317,0.67228,0.96005,0.92982,1.12759,0.00154047,0.00154047,0.00154047
34,140.258,0.96598,0.67413,1.04282,0.80724,0.97733,0.96439,0.68189,0.99845,0.602,1.13084,0.00151395,0.00151395,0.00151395
35,144.212,0.88326,0.64308,1.01784,0.97363,0.9,0.9675,0.68769,1.07173,0.62559,1.16896,0.00148694,0.00148694,0.00148694
36,148.206,0.91548,0.62674,1.01796,0.96537,0.92931,0.96219,0.67747,0.99526,0.65645,1.13541,0.00145945,0.00145945,0.00145945
37,152.116,0.88283,0.58227,0.98988,0.88702,0.93333,0.95831,0.70599,0.97335,0.56482,1.10691,0.00143152,0.00143152,0.00143152
38,156.048,0.91283,0.61056,1.0322,0.91006,0.96667,0.95423,0.72288,0.9168,0.59104,1.08801,0.00140318,0.00140318,0.00140318
39,160.144,0.9027,0.62839,1.0106,0.92559,0.96667,0.96703,0.7073,0.98839,0.55932,1.12785,0.00137444,0.00137444,0.00137444
40,164.122,0.87756,0.61316,1.00721,0.83435,0.93333,0.94869,0.71115,0.99323,0.6316,1.11343,0.00134535,0.00134535,0.00134535
41,168.041,0.90942,0.64757,1.03971,0.82093,0.93333,0.8737,0.65745,0.96816,0.62932,1.13825,0.00131593,0.00131593,0.00131593
42,172,0.87866,0.61656,1.02669,0.76796,0.88278,0.9285,0.6818,0.99708,0.69428,1.1212,0.0012862,0.0012862,0.0012862
43,175.954,0.83988,0.59508,1.00143,0.8961,0.9,0.95742,0.71333,0.95384,0.61847,1.09103,0.0012562,0.0012562,0.0012562
44,179.938,0.88038,0.61476,1.04021,0.94111,0.9,0.96708,0.71799,0.96139,0.56394,1.11283,0.00122596,0.00122596,0.00122596
45,183.877,0.85346,0.56162,1.01561,0.96147,0.83194,0.95209,0.71145,0.93081,0.6039,1.09023,0.00119551,0.00119551,0.00119551
46,187.818,0.85482,0.59081,1.02255,0.8509,0.95142,0.95072,0.7149,0.93725,0.65118,1.09744,0.00116487,0.00116487,0.00116487
47,191.735,0.85031,0.56738,0.99241,0.89553,0.96667,0.96666,0.70651,1.00722,0.58728,1.13988,0.00113408,0.00113408,0.00113408
48,195.707,0.83097,0.56298,0.99223,0.86942,0.96667,0.97726,0.71104,1.02207,0.5415,1.1462,0.00110317,0.00110317,0.00110317
49,199.692,0.84495,0.60342,1.00293,0.92263,0.86667,0.95231,0.68313,1.04343,0.59202,1.15344,0.00107216,0.00107216,0.00107216
50,203.65,0.84451,0.54458,0.99524,0.93284,0.92619,0.97247,0.67586,1.07771,0.54581,1.19364,0.0010411,0.0010411,0.0010411
51,207.636,0.81399,0.52625,0.97263,0.94238,0.9,0.97305,0.70028,1.0164,0.5462,1.14624,0.00101,0.00101,0.00101
52,211.638,0.81771,0.5299,0.99692,0.96222,0.93333,0.97734,0.70953,1.00994,0.50721,1.11443,0.000978903,0.000978903,0.000978903
53,215.574,0.87693,0.59356,1.01208,0.93169,0.93333,0.98177,0.71856,0.93975,0.49271,1.08788,0.000947837,0.000947837,0.000947837
54,219.505,0.79154,0.51851,0.96807,0.96471,0.91135,0.98155,0.7196,0.99218,0.49058,1.09154,0.000916833,0.000916833,0.000916833
55,223.514,0.77855,0.52199,0.96007,0.86198,0.93333,0.95819,0.7145,0.95173,0.5441,1.08597,0.00088592,0.00088592,0.00088592
56,227.492,0.8271,0.54665,0.98195,0.89053,0.96667,0.95615,0.70109,0.97258,0.52231,1.10864,0.00085513,0.00085513,0.00085513
57,231.423,0.76795,0.48627,0.96312,0.93174,1,0.985,0.7348,0.97072,0.49352,1.12024,0.000824492,0.000824492,0.000824492
58,235.563,0.79584,0.52473,0.99702,0.93458,1,0.98875,0.72677,0.97983,0.47102,1.1266,0.000794038,0.000794038,0.000794038
