epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68981,1.11085,3.07097,1.12414,0.00491,0.93333,0.30475,0.21447,0.98175,3.15361,1.11041,1.2e-07,1.2e-07,0.0880001
2,8.75867,1.09874,2.17104,1.12718,0.00509,0.96667,0.66318,0.47351,0.90777,2.93003,1.0884,2.47525e-07,2.47525e-07,0.0750002
3,12.0168,1.0974,1.83233,1.0862,0.00526,1,0.73441,0.55339,0.88035,2.99961,1.09543,3.72476e-07,3.72476e-07,0.0620004
4,15.011,1.08878,1.59272,1.0986,0.00526,1,0.76186,0.56369,0.86234,2.72577,1.1016,4.94853e-07,4.94853e-07,0.0490005
5,17.9429,1.0502,1.5184,1.07073,0.00526,1,0.80257,0.5885,0.87216,2.48914,1.10164,6.14656e-07,6.14656e-07,0.0360006
6,20.8291,1.05071,1.50806,1.07212,1,0.37541,0.82369,0.6154,0.88837,2.22542,1.10463,7.31885e-07,7.31885e-07,0.0230007
7,23.6716,1.03075,1.4167,1.05451,0.94001,0.52278,0.84916,0.64025,0.89461,2.00963,1.10189,8.4654e-07,8.4654e-07,0.0100008
8,26.6721,1.05873,1.38797,1.06755,0.91263,0.69649,0.86757,0.6539,0.91767,1.65932,1.08702,9.307e-07,9.307e-07,9.307e-07
9,29.7184,1.04795,1.45899,1.07885,0.91362,0.7053,0.87987,0.65429,0.91968,1.46985,1.07929,9.208e-07,9.208e-07,9.208e-07
10,32.7417,1.05436,1.44638,1.07066,0.88231,0.74999,0.88475,0.66476,0.91711,1.35274,1.07393,9.109e-07,9.109e-07,9.109e-07
11,35.7046,1.08845,1.4111,1.07298,0.85927,0.81436,0.88952,0.66778,0.91896,1.28146,1.06845,9.01e-07,9.01e-07,9.01e-07
12,38.6093,1.05282,1.39078,1.03984,0.84947,0.86667,0.89539,0.67302,0.92022,1.23946,1.06512,8.911e-07,8.911e-07,8.911e-07
