epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0175,1.15102,2.39425,1.10354,0.77117,0.75275,0.80563,0.53641,1.07782,2.28812,0.99183,0.000198095,0.000198095,0.000198095
2,65.2834,1.17116,1.51194,1.11193,0.8846,0.87363,0.90304,0.58134,1.07901,1.3896,1.10368,0.000397998,0.000397998,0.000397998
3,93.8463,1.13027,1.20205,1.11705,0.85265,0.81319,0.84168,0.55988,1.03535,1.05881,1.11043,0.000597511,0.000597511,0.000597511
4,122.776,1.13638,1.08045,1.13443,0.80579,0.76923,0.84301,0.55063,1.11071,1.10131,1.14413,0.000796342,0.000796342,0.000796342
5,151.182,1.15547,1.04745,1.14185,0.83878,0.7967,0.84681,0.54063,1.04897,1.30733,1.1266,0.000994199,0.000994199,0.000994199
6,178.754,1.1697,0.97564,1.1395,0.89249,0.82104,0.89136,0.57422,1.08219,0.93854,1.13959,0.00119079,0.00119079,0.00119079
7,206.22,1.15216,0.9439,1.14312,0.89936,0.85165,0.92448,0.62084,1.04461,0.69199,1.09488,0.00138584,0.00138584,0.00138584
8,233.904,1.15245,0.92354,1.147,0.86329,0.86738,0.91109,0.59873,1.06596,0.7199,1.10551,0.00157904,0.00157904,0.00157904
9,261.261,1.14699,0.90071,1.14064,0.89103,0.85366,0.91667,0.57947,1.06765,1.12903,1.11867,0.00177013,0.00177013,0.00177013
10,288.472,1.11491,0.82209,1.12756,0.85761,0.85714,0.92768,0.60582,1.03574,0.81164,1.10477,0.00195882,0.00195882,0.00195882
11,315.703,1.1216,0.83261,1.11831,0.86561,0.82967,0.89063,0.57048,1.07577,0.87035,1.13119,0.00195155,0.00195155,0.00195155
12,342.913,1.1325,0.8521,1.13916,0.89595,0.81319,0.90392,0.61191,1.00089,0.72038,1.09319,0.00194147,0.00194147,0.00194147
13,370.067,1.09079,0.82175,1.11413,0.87172,0.8956,0.91771,0.60131,1.03272,0.65886,1.10465,0.00193048,0.00193048,0.00193048
14,397.256,1.10448,0.80032,1.11918,0.89233,0.8652,0.93831,0.62393,1.02229,0.67328,1.10528,0.00191858,0.00191858,0.00191858
15,424.65,1.06343,0.78144,1.10804,0.90792,0.85714,0.93596,0.62251,1.01772,0.68134,1.10721,0.00190578,0.00190578,0.00190578
16,452.066,1.07457,0.77822,1.11252,0.90805,0.91209,0.94505,0.63989,1.02042,0.64993,1.09826,0.0018921,0.0018921,0.0018921
17,479.577,1.08127,0.77836,1.11438,0.90801,0.8956,0.94596,0.62014,1.0082,0.63638,1.09715,0.00187754,0.00187754,0.00187754
18,506.92,1.07012,0.76458,1.10512,0.91817,0.92481,0.9472,0.65381,0.96787,0.57385,1.07302,0.00186213,0.00186213,0.00186213
19,534.327,1.04737,0.74823,1.10257,0.89708,0.92857,0.95361,0.62465,0.987,0.60117,1.07237,0.00184588,0.00184588,0.00184588
20,561.541,1.06717,0.74384,1.10311,0.91283,0.9206,0.95841,0.65343,0.9578,0.5906,1.08736,0.00182881,0.00182881,0.00182881
21,588.749,1.06264,0.73497,1.11747,0.8661,0.88853,0.92909,0.62331,0.99222,0.86881,1.09705,0.00181093,0.00181093,0.00181093
22,615.906,1.02572,0.69974,1.08821,0.89795,0.91856,0.94151,0.64286,0.9814,0.67517,1.09311,0.00179225,0.00179225,0.00179225
23,643.16,1.03964,0.71295,1.09019,0.87328,0.96703,0.95276,0.65851,0.98483,0.60076,1.07711,0.00177281,0.00177281,0.00177281
24,670.655,1.02126,0.72059,1.09291,0.88781,0.95661,0.96925,0.6574,0.9878,0.62314,1.0905,0.00175261,0.00175261,0.00175261
25,698.51,1.01418,0.69047,1.08559,0.91075,0.93956,0.96044,0.67314,0.93524,0.53541,1.05531,0.00173168,0.00173168,0.00173168
26,726.466,1.01153,0.67829,1.09299,0.91725,0.93956,0.95921,0.65321,0.99066,0.57404,1.0858,0.00171004,0.00171004,0.00171004
27,754.38,0.99892,0.68253,1.07702,0.94853,0.91133,0.97768,0.65902,1.03058,0.55553,1.11723,0.0016877,0.0016877,0.0016877
28,781.941,1.01491,0.66131,1.07173,0.90708,0.96551,0.97826,0.66557,0.94664,0.50776,1.0643,0.0016647,0.0016647,0.0016647
29,809.756,0.99027,0.65765,1.07317,0.91602,0.95896,0.97215,0.65378,0.98393,0.55714,1.08338,0.00164105,0.00164105,0.00164105
30,837.147,0.98889,0.65028,1.07087,0.91214,0.8956,0.93757,0.63883,0.95517,0.63145,1.0681,0.00161678,0.00161678,0.00161678
31,864.425,0.96128,0.61677,1.05556,0.9292,0.93745,0.96044,0.64751,0.97059,0.53896,1.07997,0.00159191,0.00159191,0.00159191
32,891.765,0.96587,0.64076,1.06326,0.92774,0.95055,0.95878,0.66009,0.99849,0.51911,1.07986,0.00156646,0.00156646,0.00156646
33,919.18,0.96263,0.62458,1.05357,0.89224,0.95537,0.95959,0.6618,0.93486,0.54612,1.06769,0.00154047,0.00154047,0.00154047
34,946.538,0.96596,0.62425,1.05408,0.90901,0.95604,0.97401,0.66066,0.99989,0.53152,1.0728,0.00151395,0.00151395,0.00151395
35,973.855,0.97506,0.63491,1.07,0.93603,0.96472,0.96686,0.67893,0.9647,0.49568,1.04854,0.00148694,0.00148694,0.00148694
36,1001.32,0.92291,0.60473,1.03268,0.93036,0.95421,0.97581,0.67818,0.98408,0.49862,1.07485,0.00145945,0.00145945,0.00145945
37,1028.48,0.93686,0.60453,1.05147,0.92672,0.94505,0.97458,0.68087,0.94841,0.47938,1.06911,0.00143152,0.00143152,0.00143152
