epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,178.273,0.88928,0.6416,1.01925,0.83691,0.9,0.90999,0.66599,1.01673,0.67,1.11275,0.0012862,0.0012862,0.0012862
43,182.279,0.88694,0.61332,1.02617,0.90121,0.91249,0.95991,0.7205,0.96509,0.59515,1.06743,0.0012562,0.0012562,0.0012562
44,186.265,0.89867,0.64908,1.03617,0.98959,0.9,0.97628,0.75765,0.91175,0.55328,1.06287,0.00122596,0.00122596,0.00122596
45,190.416,0.84268,0.57279,1.00748,0.91572,0.9,0.96979,0.7485,0.91076,0.57183,1.07727,0.00119551,0.00119551,0.00119551
46,194.413,0.88244,0.60296,1.0298,0.96354,0.9,0.967,0.74105,0.93087,0.59628,1.1192,0.00116487,0.00116487,0.00116487
47,198.438,0.85646,0.58121,0.98876,0.97736,0.86667,0.96698,0.74126,0.96859,0.57322,1.121,0.00113408,0.00113408,0.00113408
48,202.439,0.82422,0.56807,0.99353,0.92228,0.9,0.96957,0.70752,1.02678,0.56889,1.18549,0.00110317,0.00110317,0.00110317
49,206.396,0.85786,0.62404,1.0183,0.93313,0.93037,0.96696,0.70285,1.01201,0.58136,1.17157,0.00107216,0.00107216,0.00107216
50,210.378,0.82538,0.55584,0.98191,0.9918,0.9,0.96877,0.71421,1.01671,0.57861,1.17121,0.0010411,0.0010411,0.0010411
51,214.407,0.81646,0.51406,0.97685,0.98162,0.9,0.96968,0.72915,0.96002,0.55421,1.13018,0.00101,0.00101,0.00101
52,218.463,0.81266,0.51272,0.9935,0.95201,0.93333,0.98099,0.75152,0.93802,0.52519,1.11958,0.000978903,0.000978903,0.000978903
53,222.404,0.86375,0.60024,1.00684,0.9543,0.93333,0.9581,0.71232,0.94376,0.50738,1.11962,0.000947837,0.000947837,0.000947837
54,226.333,0.80777,0.52549,0.97264,0.95836,0.93333,0.96108,0.70117,1.00553,0.47532,1.13701,0.000916833,0.000916833,0.000916833
55,230.294,0.79107,0.50904,0.96096,0.98638,0.93333,0.98427,0.75057,0.96009,0.47364,1.1054,0.00088592,0.00088592,0.00088592
56,234.272,0.82712,0.5334,0.97659,0.98596,0.9,0.98098,0.75652,0.93921,0.48677,1.10597,0.00085513,0.00085513,0.00085513
57,238.267,0.76627,0.48093,0.96267,0.93513,0.96117,0.9766,0.73802,0.98266,0.49916,1.12028,0.000824492,0.000824492,0.000824492
58,242.199,0.80057,0.51176,0.99396,0.95513,0.93333,0.98081,0.73618,0.97356,0.49013,1.14339,0.000794038,0.000794038,0.000794038
59,246.184,0.81559,0.53587,1.00824,0.98769,0.93333,0.97397,0.71247,1.02416,0.55739,1.15539,0.000763797,0.000763797,0.000763797
60,250.199,0.7834,0.52372,1.00458,1,0.92758,0.9725,0.71846,0.99081,0.50807,1.11765,0.000733799,0.000733799,0.000733799
61,254.155,0.79845,0.51115,0.98714,1,0.89795,0.96472,0.72722,1.04183,0.54591,1.14056,0.000704073,0.000704073,0.000704073
62,258.115,0.74801,0.47846,0.95956,0.99155,0.86667,0.9702,0.72087,1.02495,0.53794,1.12842,0.000674649,0.000674649,0.000674649
63,262.064,0.73916,0.49048,0.96721,1,0.8882,0.98147,0.73783,1.01455,0.4917,1.13974,0.000645557,0.000645557,0.000645557
64,266.03,0.76233,0.5097,0.95994,0.98697,0.93333,0.98556,0.73197,1.04567,0.49269,1.1308,0.000616824,0.000616824,0.000616824
65,269.966,0.75334,0.48535,0.96518,0.98531,0.93333,0.98221,0.73198,0.97875,0.47901,1.09598,0.000588479,0.000588479,0.000588479
66,273.922,0.8074,0.52204,0.96885,0.96639,0.95858,0.97785,0.75125,0.95835,0.48386,1.05763,0.000560549,0.000560549,0.000560549
67,277.836,0.80433,0.50651,0.99359,0.96644,0.96021,0.96904,0.73676,0.94261,0.49372,1.0654,0.000533064,0.000533064,0.000533064
68,281.833,0.75872,0.46748,0.96632,0.96182,0.93333,0.97532,0.76564,0.9283,0.47735,1.07109,0.000506049,0.000506049,0.000506049
69,286.041,0.7245,0.46778,0.97105,0.96227,0.93333,0.97688,0.74736,0.93897,0.47795,1.08076,0.000479531,0.000479531,0.000479531
70,289.98,0.75714,0.49822,0.93943,0.96094,0.93333,0.97865,0.73717,0.98608,0.48748,1.11889,0.000453537,0.000453537,0.000453537
71,293.938,0.73065,0.48391,0.96095,0.95975,0.93333,0.95824,0.72633,0.9477,0.48677,1.095,0.000428093,0.000428093,0.000428093
72,297.935,0.75177,0.47348,0.94061,0.96652,0.96228,0.95933,0.72127,0.94081,0.49344,1.08232,0.000403222,0.000403222,0.000403222
73,301.934,0.70224,0.419,0.93449,0.93542,0.96573,0.96215,0.72646,0.93489,0.51237,1.07337,0.00037895,0.00037895,0.00037895
74,305.904,0.72703,0.45477,0.96329,0.93509,0.96059,0.97012,0.75354,0.89867,0.50219,1.08319,0.000355301,0.000355301,0.000355301
75,309.894,0.70511,0.43702,0.94716,0.93509,0.96055,0.97122,0.75106,0.9172,0.50532,1.09167,0.000332298,0.000332298,0.000332298
76,313.88,0.73174,0.47064,0.95577,0.93507,0.96025,0.97024,0.74583,0.91874,0.4982,1.0958,0.000309964,0.000309964,0.000309964
77,317.845,0.71425,0.46534,0.95794,0.93519,0.96204,0.97586,0.75607,0.89093,0.47944,1.0792,0.000288321,0.000288321,0.000288321
78,321.781,0.72037,0.44928,0.94987,0.93531,0.96393,0.97628,0.77294,0.9274,0.50305,1.0655,0.00026739,0.00026739,0.00026739
79,325.906,0.69219,0.45181,0.94979,0.95285,0.93333,0.97708,0.75356,0.95136,0.51568,1.0696,0.000247192,0.000247192,0.000247192
80,329.947,0.70541,0.44386,0.97469,0.96115,0.93333,0.97614,0.74397,0.93332,0.5198,1.07187,0.000227747,0.000227747,0.000227747
81,333.921,0.6864,0.42479,0.92998,0.96109,0.93333,0.97556,0.74724,0.93841,0.50907,1.07442,0.000209073,0.000209073,0.000209073
82,337.863,0.70318,0.43254,0.94262,0.93129,0.90368,0.97478,0.749,0.95872,0.51242,1.08705,0.00019119,0.00019119,0.00019119
83,341.797,0.67188,0.41223,0.93664,0.92907,0.93333,0.97588,0.74427,0.95691,0.50562,1.09048,0.000174115,0.000174115,0.000174115
84,345.778,0.61524,0.40617,0.92365,0.93514,0.96132,0.98244,0.7523,0.9323,0.48423,1.08685,0.000157865,0.000157865,0.000157865
85,349.702,0.62696,0.39552,0.92151,0.9352,0.96224,0.98249,0.76385,0.93537,0.47708,1.08945,0.000142456,0.000142456,0.000142456
86,353.713,0.64092,0.39771,0.92754,0.92779,0.93333,0.98213,0.75948,0.94566,0.47658,1.0932,0.000127904,0.000127904,0.000127904
87,357.641,0.66425,0.4134,0.94534,0.92859,0.93333,0.98346,0.74895,0.93698,0.47384,1.08855,0.000114221,0.000114221,0.000114221
88,361.678,0.64704,0.42966,0.93572,0.94356,0.93333,0.98505,0.74903,0.92388,0.47713,1.08661,0.000101423,0.000101423,0.000101423
