epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85774,1.11376,3.05249,1.12291,0.00491,0.93333,0.36577,0.26021,0.98783,3.15493,1.10743,1.2e-05,1.2e-05,0.088012
2,8.97673,1.11057,2.0269,1.12217,0.00509,0.96667,0.68417,0.49012,0.90056,2.91974,1.07678,2.47525e-05,2.47525e-05,0.0750248
3,12.0738,1.09151,1.62219,1.07504,0.00526,1,0.70556,0.54442,0.88867,2.90136,1.0971,3.72476e-05,3.72476e-05,0.0620372
4,15.1168,1.07773,1.30366,1.08443,0.02338,1,0.6999,0.50808,0.88823,3.01653,1.12418,4.94853e-05,4.94853e-05,0.0490495
5,17.8426,1.02346,1.21388,1.03861,0.4654,0.83333,0.796,0.59667,0.87727,2.80579,1.09203,6.14656e-05,6.14656e-05,0.0360615
6,20.7363,1.01544,1.16223,1.03902,1,0.37823,0.88,0.65326,0.90617,2.32505,1.0426,7.31885e-05,7.31885e-05,0.0230732
7,23.5365,1.0057,1.05755,1.02844,1,0.69774,0.91947,0.67942,0.92614,1.95105,1.03438,8.4654e-05,8.4654e-05,0.0100847
8,26.416,1.02435,1.02931,1.04158,0.91547,0.83333,0.93669,0.7257,0.89269,1.42921,1.01449,9.307e-05,9.307e-05,9.307e-05
9,29.259,1.00447,1.04258,1.04104,0.93843,0.86667,0.94083,0.73741,0.87484,1.15502,1.01173,9.208e-05,9.208e-05,9.208e-05
10,32.0862,1.01711,1.05224,1.0552,0.88399,0.86667,0.93834,0.72185,0.892,0.98698,1.02387,9.109e-05,9.109e-05,9.109e-05
11,34.8013,1.0257,1.01187,1.05306,0.93682,0.8,0.93671,0.71098,0.91789,0.90396,1.03924,9.01e-05,9.01e-05,9.01e-05
12,37.4727,1.0014,0.94427,1.0359,0.92304,0.7996,0.9303,0.68387,0.9439,0.88042,1.05677,8.911e-05,8.911e-05,8.911e-05
13,40.1636,1.00552,0.97507,1.05774,0.92225,0.79103,0.92907,0.68719,0.93163,0.87667,1.05167,8.812e-05,8.812e-05,8.812e-05
14,42.872,1.03176,0.96131,1.08003,0.92286,0.79767,0.92473,0.70742,0.89907,0.87509,1.03763,8.713e-05,8.713e-05,8.713e-05
15,45.556,0.98077,0.90174,1.02965,0.92031,0.77003,0.93368,0.7199,0.87543,0.85732,1.01589,8.614e-05,8.614e-05,8.614e-05
16,48.26,0.99451,0.92956,1.03149,0.88117,0.86667,0.95304,0.74292,0.86644,0.79513,0.99941,8.515e-05,8.515e-05,8.515e-05
