epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88828,1.6349,5.03307,1.68244,0.00526,1,0.65429,0.47016,1.1881,4.49424,1.27007,0.00024,0.00024,0.00024
2,11.2209,1.40388,2.70388,1.39591,0.00938,0.93333,0.71779,0.4575,1.32746,4.74754,1.38951,0.000499879,0.000499879,0.000499879
3,15.355,1.4344,2.61375,1.45647,0.82411,0.23333,0.51584,0.27781,1.56593,4.86016,1.66958,0.000759265,0.000759265,0.000759265
4,19.5065,1.48514,2.44828,1.51349,0.63976,0.23706,0.554,0.30159,1.51089,4.51678,1.73661,0.00101778,0.00101778,0.00101778
5,23.5417,1.45939,2.40803,1.51488,0.7456,0.39121,0.64194,0.38787,1.51324,4.18239,1.75679,0.00127506,0.00127506,0.00127506
6,27.656,1.42341,2.20426,1.52654,0.51587,0.6,0.47795,0.28056,1.34932,3.65951,1.5382,0.00153071,0.00153071,0.00153071
7,31.6506,1.42857,2.18026,1.52402,0.80363,0.68241,0.70729,0.50744,1.37126,3.12257,1.57399,0.00178438,0.00178438,0.00178438
8,35.8927,1.42948,2.08386,1.50215,0.77268,0.45367,0.63127,0.41949,1.56931,3.51676,1.72476,0.00197641,0.00197641,0.00197641
9,39.8433,1.37346,1.92645,1.48352,0.68055,0.86667,0.83356,0.57685,1.32212,2.23082,1.55968,0.00196922,0.00196922,0.00196922
10,44.0588,1.44224,1.91134,1.46772,0.90168,0.66667,0.83636,0.59452,1.3052,1.87792,1.4777,0.0019611,0.0019611,0.0019611
11,48.2256,1.44019,1.8516,1.50269,0.73532,0.73333,0.76213,0.47743,1.3908,2.0927,1.44776,0.00195205,0.00195205,0.00195205
12,52.1911,1.44749,1.87178,1.5114,0.73302,0.93333,0.89131,0.6273,1.20734,2.08496,1.38624,0.00194208,0.00194208,0.00194208
13,56.3393,1.42097,1.74195,1.48536,0.76448,0.75763,0.84542,0.60885,1.17994,5.17416,1.43368,0.00193121,0.00193121,0.00193121
